,group,sample,leiden,orig.ident,nCount_RNA,nFeature_RNA,total_cells,frequency,frequency100,p_values,stadistic_values
0,CON,CON_DS2U,IN,418,418,418,20401,0.020489191706288906,2.0489191706288907,0.0020969727356853676,-10.145578819917134
24,DS,DS_DSP,IN,3879,3879,3879,14225,0.272688927943761,27.2688927943761,0.0020969727356853676,-10.145578819917134
6,CON,CON_H9,IN,1523,1523,1523,20401,0.0746532032743493,7.465320327434929,0.0020969727356853676,-10.145578819917134
18,DS,DS_2DS3,IN,4272,4272,4272,14225,0.3003163444639719,30.031634446397188,0.0020969727356853676,-10.145578819917134
12,CON,CON_IMR,IN,1514,1514,1514,20401,0.07421204842899858,7.421204842899858,0.0020969727356853676,-10.145578819917134
1,CON,CON_DS2U,IPC,674,674,674,20401,0.03303759619626489,3.3037596196264887,0.14167087382266486,2.0029549029289804
25,DS,DS_DSP,IPC,58,58,58,14225,0.004077328646748682,0.40773286467486825,0.14167087382266486,2.0029549029289804
7,CON,CON_H9,IPC,214,214,214,20401,0.010489681878339298,1.0489681878339299,0.14167087382266486,2.0029549029289804
19,DS,DS_2DS3,IPC,172,172,172,14225,0.012091388400702988,1.2091388400702987,0.14167087382266486,2.0029549029289804
13,CON,CON_IMR,IPC,586,586,586,20401,0.028724082152835645,2.8724082152835644,0.14167087382266486,2.0029549029289804
26,DS,DS_DSP,MGE,755,755,755,14225,0.053075571177504395,5.30755711775044,0.4503821053947315,-1.1514232878418056
20,DS,DS_2DS3,MGE,229,229,229,14225,0.01609841827768014,1.609841827768014,0.4503821053947315,-1.1514232878418056
14,CON,CON_IMR,MGE,281,281,281,20401,0.0137738346159502,1.37738346159502,0.4503821053947315,-1.1514232878418056
2,CON,CON_DS2U,MGE,345,345,345,20401,0.016910935738444193,1.6910935738444193,0.4503821053947315,-1.1514232878418056
8,CON,CON_H9,MGE,177,177,177,20401,0.008676045291897456,0.8676045291897456,0.4503821053947315,-1.1514232878418056
21,DS,DS_2DS3,RG,1165,1165,1165,14225,0.08189806678383128,8.189806678383128,0.5276316569268524,0.7180457824520741
27,DS,DS_DSP,RG,1565,1565,1565,14225,0.11001757469244289,11.00175746924429,0.5276316569268524,0.7180457824520741
15,CON,CON_IMR,RG,3271,3271,3271,20401,0.16033527768246655,16.033527768246657,0.5276316569268524,0.7180457824520741
3,CON,CON_DS2U,RG,2554,2554,2554,20401,0.12518994166952602,12.518994166952602,0.5276316569268524,0.7180457824520741
9,CON,CON_H9,RG,1384,1384,1384,20401,0.06783981177393265,6.783981177393265,0.5276316569268524,0.7180457824520741
4,CON,CON_DS2U,nEN,2735,2735,2735,20401,0.13406205578157934,13.406205578157934,0.2627101046216101,1.4130298838126305
22,DS,DS_2DS3,nEN,995,995,995,14225,0.06994727592267136,6.994727592267136,0.2627101046216101,1.4130298838126305
10,CON,CON_H9,nEN,840,840,840,20401,0.04117445223273369,4.117445223273369,0.2627101046216101,1.4130298838126305
16,CON,CON_IMR,nEN,2487,2487,2487,20401,0.1219057889319151,12.19057889319151,0.2627101046216101,1.4130298838126305
28,DS,DS_DSP,nEN,171,171,171,14225,0.012021089630931459,1.2021089630931459,0.2627101046216101,1.4130298838126305
23,DS,DS_2DS3,nIN,69,69,69,14225,0.004850615114235501,0.48506151142355014,0.7688128976159945,-0.37656498686066386
5,CON,CON_DS2U,nIN,313,313,313,20401,0.015342385177197196,1.5342385177197195,0.7688128976159945,-0.37656498686066386
17,CON,CON_IMR,nIN,602,602,602,20401,0.029508357433459143,2.9508357433459143,0.7688128976159945,-0.37656498686066386
11,CON,CON_H9,nIN,483,483,483,20401,0.02367531003382187,2.367531003382187,0.7688128976159945,-0.37656498686066386
29,DS,DS_DSP,nIN,895,895,895,14225,0.06291739894551845,6.291739894551846,0.7688128976159945,-0.37656498686066386
