cluster,sample,group,N_cells,N_sample,fract_sample,N_cluster,fract_cluster
IN_2,CON_DS2U,CON,91,7039,0.01292797272339821,2693,0.0337913108057928
IN_2,CON_H9,CON,106,4621,0.022938757844622376,2693,0.03936130709246194
IN_2,CON_IMR,CON,563,8741,0.06440910650955269,2693,0.2090605272929818
IN_2,DS_2DS3,DS,34,6902,0.0049261083743842365,2693,0.012625324916450055
IN_2,DS_DSP,DS,1899,7323,0.25931995083981974,2693,0.7051615298923134
IN_1,CON_DS2U,CON,140,7039,0.019889188805228015,4402,0.03180372557928214
IN_1,CON_H9,CON,1375,4621,0.29755464185241287,4402,0.31235801908223537
IN_1,CON_IMR,CON,910,8741,0.10410708156961446,4402,0.20672421626533394
IN_1,DS_2DS3,DS,19,6902,0.00275282526803825,4402,0.004316219900045434
IN_1,DS_DSP,DS,1958,7323,0.26737675815922435,4402,0.4447978191731031
IN,CON_DS2U,CON,187,7039,0.026566273618411705,4511,0.04145422301041898
IN,CON_H9,CON,42,4621,0.009088941787491886,4511,0.00931057415207271
IN,CON_IMR,CON,41,8741,0.004690538839949662,4511,0.009088893815118598
IN,DS_2DS3,DS,4219,6902,0.6112720950449145,4511,0.9352693416093992
IN,DS_DSP,DS,22,7323,0.0030042332377440938,4511,0.004876967412990468
nIN_1,CON_DS2U,CON,276,7039,0.039210115073163805,730,0.3780821917808219
nIN_1,CON_H9,CON,84,4621,0.01817788357498377,730,0.11506849315068493
nIN_1,CON_IMR,CON,180,8741,0.02059260954124242,730,0.2465753424657534
nIN_1,DS_2DS3,DS,62,6902,0.008982903506230079,730,0.08493150684931507
nIN_1,DS_DSP,DS,128,7323,0.017479175201420182,730,0.17534246575342466
nIN,CON_DS2U,CON,37,7039,0.005256428469953119,1632,0.02267156862745098
nIN,CON_H9,CON,399,4621,0.08634494698117291,1632,0.24448529411764705
nIN,CON_IMR,CON,422,8741,0.048278229035579455,1632,0.25857843137254904
nIN,DS_2DS3,DS,7,6902,0.0010141987829614604,1632,0.00428921568627451
nIN,DS_DSP,DS,767,7323,0.10473849515226,1632,0.4699754901960784
nEN_1,CON_DS2U,CON,526,7039,0.07472652365392811,3142,0.16740929344366645
nEN_1,CON_H9,CON,184,4621,0.03981822116425016,3142,0.05856142584341184
nEN_1,CON_IMR,CON,2329,8741,0.2664454867864089,3142,0.7412476129853597
nEN_1,DS_2DS3,DS,48,6902,0.006954505940307157,3142,0.015276893698281349
nEN_1,DS_DSP,DS,55,7323,0.007510583094360235,3142,0.017504774029280714
nEN,CON_DS2U,CON,2209,7039,0.31382298621963345,4086,0.5406265296133137
nEN,CON_H9,CON,656,4621,0.14196061458558754,4086,0.16054821341164954
nEN,CON_IMR,CON,158,8741,0.018075735041757236,4086,0.03866862457170827
nEN,DS_2DS3,DS,947,6902,0.13720660678064328,4086,0.23176700930004895
nEN,DS_DSP,DS,116,7323,0.01584050252628704,4086,0.028389623103279492
IPC,CON_DS2U,CON,674,7039,0.09575223753374058,1704,0.3955399061032864
IPC,CON_H9,CON,214,4621,0.04631032244103008,1704,0.1255868544600939
IPC,CON_IMR,CON,586,8741,0.0670403843953781,1704,0.3438967136150235
IPC,DS_2DS3,DS,172,6902,0.024920312952767313,1704,0.10093896713615023
IPC,DS_DSP,DS,58,7323,0.00792025126314352,1704,0.03403755868544601
MGE,CON_DS2U,CON,345,7039,0.049012643841454755,1787,0.19306099608282037
MGE,CON_H9,CON,177,4621,0.038303397533001514,1787,0.09904868494683827
MGE,CON_IMR,CON,281,8741,0.032147351561606224,1787,0.15724678231673195
MGE,DS_2DS3,DS,229,6902,0.033178788756882065,1787,0.1281477336317851
MGE,DS_DSP,DS,755,7323,0.10309982247712686,1787,0.42249580302182427
RG,CON_DS2U,CON,2554,7039,0.3628356300610882,9939,0.2569675017607405
RG,CON_H9,CON,1384,4621,0.2995022722354469,9939,0.13924942147097294
RG,CON_IMR,CON,3271,8741,0.37421347671891086,9939,0.3291075560921622
RG,DS_2DS3,DS,1165,6902,0.16879165459287163,9939,0.11721501157058054
RG,DS_DSP,DS,1565,7323,0.21371022804861395,9939,0.15746050910554382
