source,target,value
TCF4,CCDC88A,18.04402276249236
TCF4,TNRC6B,16.694269551941378
TCF4,NSD1,7.26239608365252
TCF4,SP8,2.56906348890204
TCF4,PAXBP1,9.07639028176134
TCF4,LINC00461,129.90514257090445
TCF4,ADGRB3,5.370960072816795
TCF4,DHRS3,3.833091246958694
TCF4,MEIS2,2.8085881574478373
TCF4,RABGAP1L,9.549223149705854
TCF4,DACH1,25.69808162384804
TCF4,LRRC3B,7.541810714735414
TCF4,FOXP1,6.397620243486399
TCF4,SOX4,5.17308264484278
TCF4,RBBP4,10.2483390827346
TCF4,BCL11A,4.376782986155722
TCF4,MAML3,7.899313808551883
TCF4,FEZF1-AS1,16.869653607790475
TCF4,FLRT2,4.697878109132154
TCF4,RASGRP1,14.290786725202004
TCF4,SYNE2,32.59600886967742
TCF4,SLIT1,7.534751032259151
TCF4,CHD1,18.408621410661304
TCF4,EFNA5,8.221378355325273
TCF4,NLGN1,22.90274200271316
TCF4,ADCY9,2.7598692609043
TCF4,CTBP2,37.20831722348637
TCF4,DAPK1,5.630342776874939
TCF4,PEX5L,24.418383050318017
TCF4,EOMES,2.7345018169385304
TCF4,CHST8,21.328090992577323
TCF4,LHFPL4,3.812475721159601
TCF4,FOXN3,38.94380456357539
TCF4,NR3C1,5.6325152219561305
TCF4,RGL1,8.875592678589216
TCF4,KIAA1217,2.7986799132090696
TCF4,GPC6,9.27163372984439
TCF4,BRINP1,34.36393486268154
TCF4,NFIB,57.48335034995757
TCF4,DENND5B,14.637459425488371
TCF4,TET2,7.247349754672591
TCF4,DCLK1,11.423799413255908
TCF4,PLEKHA5,14.0671515710467
TCF4,ASH1L,8.909698672245451
TCF4,MIR99AHG,6.937593979875644
TCF4,SLCO5A1,19.130602679459667
TCF4,NEUROG2,2.8009079225527542
TCF4,DLEU2,35.94145106857045
TCF4,SNTG1,37.89818380559331
TCF4,GREM2,3.667968977964384
TCF4,SEMA6C,3.386333578446859
TCF4,FBXO42,5.623443116041033
TCF4,LRBA,9.741931979592785
TCF4,LRIG1,9.700775841160052
TCF4,NPAS3,43.61487318097991
TCF4,NR2F1,26.04326678498804
TCF4,CERS6,15.395639331789091
TCF4,IGF2BP2,31.901176348684945
TCF4,SOX5,81.73981239819749
TCF4,PTPRG,15.770990494397706
TCF4,POGZ,30.568813491147317
TCF4,RORA,12.35134451283721
TCF4,DLX6,2.934756136643886
TCF4,ENOX1,53.09624129743767
TCF4,NEDD4L,29.902050543804634
TCF4,PAX6,2.782102128648793
TCF4,GAP43,3.80835889365542
TCF4,ZNF423,5.934847685660998
TCF4,SLC4A4,17.16086790423037
TCF4,NR2F2,21.2024818030493
TCF4,EBF2,8.016758249351422
TCF4,LHX2,38.13948640747007
TCF4,HECW2,11.05210107863918
TCF4,MARCH1,3.005211503584717
TCF4,INSM1,7.459606966944666
TCF4,TENM4,31.839757207323967
TCF4,KLF12,24.53952623825796
TCF4,FAM110B,24.36993094923093
TCF4,GAD2,2.746487021231778
TCF4,DLX1,7.011988498998174
TCF4,GLIS3,49.80431495962412
TCF4,HS3ST1,4.8032076228959495
TCF4,NREP,2.534624429471534
TCF4,GNAQ,9.398370448817923
TCF4,DST,23.47532032903901
TCF4,SCAF4,15.047539887543964
TCF4,ZBTB16,12.53058108122072
TCF4,KLHL29,36.94052353821018
TCF4,PLCB1,48.59282242174787
TCF4,SBF2,15.312538157057668
TCF4,CNTN2,9.90053944364655
TCF4,HAT1,10.680000359974516
TCF4,SOX11,26.871659475195116
TCF4,ATP2B4,33.57096930335627
TCF4,CDH4,14.227321995645651
TCF4,AMER2,6.20766013032676
TCF4,ELAVL2,10.476291027170552
TCF4,PLCL1,4.686962962780388
TCF4,GULP1,4.241155288879958
TCF4,PBX1,9.388464642129025
TCF4,MID1,30.648553114038386
TCF4,KMT2A,5.373245897138912
TCF4,GNAI3,9.051161281399478
TCF4,ZNF532,8.161345774820264
TCF4,ELAVL4,16.196338942147378
TCF4,RMST,3.469911473909972
TCF4,GLI3,10.531271196209977
TCF4,TMEM161B-AS1,88.91442310491523
TCF4,EMX2OS,11.232873315673338
TCF4,EMX2,6.20785393227877
TCF4,PAUPAR,5.300125144805149
TCF4,RFTN2,54.57221676812814
TCF4,ATRNL1,3.78022150496087
TCF4,ID3,5.875947136536979
TCF4,SEMA6A,9.348594836682214
TCF4,SLC17A6,5.318183175105444
TCF4,DLX6-AS1,7.79064368005466
TCF4,SEMA3E,4.655973027198467
TCF4,FAT3,4.385024227949954
TCF4,JARID2,16.216601625775503
TCF4,SNAP25,2.815917875031007
TCF4,SOX2-OT,4.850833977299884
TCF4,B3GAT2,3.548715916487376
TCF4,LSAMP,5.3289021374759775
TCF4,PCDH9,24.809926261169867
TCF4,TPBG,2.664294724274436
TCF4,HMGN3,10.80296761991965
TCF4,MAP2,32.71195257904871
TCF4,PRKG1,27.014613875766283
TCF4,WWC3,7.6500841630068654
TCF4,ABCA1,6.129834780497297
TCF4,MIR181A1HG,11.64081014747202
TCF4,PBRM1,9.424464936502938
TCF4,THSD4-AS1,42.00088767889437
TCF4,MOB3B,7.504421206472931
TCF4,SORCS3,15.442171655347884
TCF4,PALMD,3.039730895033098
TCF4,DENND1A,6.91306475263632
TCF4,CASK,5.963440363543278
TCF4,KCNB2,3.357869049660882
TCF4,DENND4C,8.507739711576573
TCF4,SOGA3,5.685322170621933
TCF4,STX6,10.785875498343534
TCF4,RBMS3,3.8530514675390006
TCF4,ADCY2,35.16733441685261
TCF4,ZBTB20,18.583141351639856
TCF4,FAM189A2,4.536048541472471
TCF4,SCRG1,7.093933805304105
TCF4,ZNF704,20.21164361778427
TCF4,EDIL3,5.272580846343759
TCF4,ERBB4,18.145285483829408
TCF4,SLC24A3,2.6353250445902616
TCF4,CTNND1,20.51337926393986
TCF4,ZMAT4,13.489783484842013
TCF4,CACHD1,8.124860748607274
TCF4,ASTN2,3.2863051750248484
TCF4,PLCH1,8.789690239645862
TCF4,PITPNC1,21.59786915415833
TCF4,ZC4H2,3.7507592045047646
TCF4,SNX27,6.363956478565164
TCF4,GAB2,5.790356550448392
TCF4,AKT3,48.07397361963994
TCF4,PTPRD,7.420738983635674
TCF4,CORO2B,32.938690739905404
TCF4,ITGA2,2.841884989965312
TCF4,APP,7.1209556885833
TCF4,PDE1A,20.0545226017864
TCF4,RIMS3,9.455384655240586
TCF4,ST18,8.562547463179687
TCF4,MYT1,6.521431193334782
TCF4,ACOT12,3.123783167006843
TCF4,OPHN1,20.310599646421284
TCF4,MAGI3,19.823809991991197
TCF4,TNC,5.494924715363836
TCF4,SYNPR,26.362114066444395
TCF4,RASAL2,4.630387416325632
TCF4,BHLHE22,4.061666729801384
TCF4,PLEKHG1,5.770670574794634
TCF4,SDK2,5.762578404434545
TCF4,LYPD6B,5.579194078433767
TCF4,RND3,29.11426552051436
TCF4,NOL4,24.71230818745452
TCF4,SETBP1,58.54329085607638
TCF4,VEPH1,6.900627951978424
TCF4,RSPO3,4.677264699711033
TCF4,GPR39,13.02222786823786
TCF4,RAB11FIP2,4.148668729440263
TCF4,FGF12,2.770676811558288
TCF4,HDAC9,64.8707449092709
TCF4,CEP126,5.009939078292589
TCF4,MEX3C,9.539075209120856
TCF4,ENO4,5.763182050539852
TCF4,NRXN1,4.4914271544346684
TCF4,NEUROD2,15.305431905770092
TCF4,ELP4,35.3947946916345
TCF4,PKN2,11.769752093090762
TCF4,SEMA3A,32.78006259262839
TCF4,DGKI,8.112758255855777
TCF4,NR2F2-AS1,26.67606930682857
TCF4,ANKS1B,22.42970511878907
TCF4,PTGFRN,4.768485595928352
TCF4,TCAF1,5.994198327810303
TCF4,LRRN3,2.9909637023299283
TCF4,CSRP2,21.63040700349229
TCF4,ST8SIA2,4.489375752795255
TCF4,FAT4,11.315549948438932
TCF4,WRN,13.456087253960114
TCF4,PAM,73.97850235318309
TCF4,TFAP2C,6.162047384257903
TCF4,RBMS1,2.979075217476354
TCF4,SHB,17.50450431524027
TCF4,LTBP1,4.5604807604912185
TCF4,KIAA0408,4.496761669915897
TCF4,RNF24,3.999976731908133
TCF4,MYO1E,6.918683758614813
TCF4,NDST3,11.36273903698571
TCF4,IPO9,17.672969545360537
TCF4,HEY2,16.397953348365355
TCF4,MDGA2,9.279248757060266
TCF4,GNG4,3.444357911977423
TCF4,TIAM1,2.821395728562792
TCF4,SYNDIG1,10.001377520342077
TCF4,NEBL,2.5095480183216226
TCF4,FRMD4B,40.79915420298658
TCF4,KCNQ3,43.85372848172435
TCF4,BMPR2,3.801531266657332
TCF4,CDC14B,11.196184640365828
TCF4,DDAH1,6.386609129421385
TCF4,BRINP2,20.758699960862547
